"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Garage Functionality","0","Add Car Feature","1","0","Add car and validate its display and data","0"
"1","","0","","1","0","","0"
